    72	31 12 -9.486769e-22
   288	32 27  1.2705494e-23
   306	31 28  8.4703295e-21
   396	12 31 -9.486769e-22
   409	28 31  8.4703295e-21
   444	27 32  1.2705494e-23
   640	47 44  2.5410988e-21
   749	44 47  2.5410988e-21
   982	63 60  3.2187252e-20
  1091	60 63  3.2187252e-20
  1324	79 76  9.6561756e-20
  1433	76 79  9.6561756e-20
  3376	175 172  6.776263599999999e-21
  3485	172 175  6.776263599999999e-21
  4744	239 236  6.7762636e-20
  4853	236 239  6.7762636e-20
  5086	255 252 -6.776263599999999e-21
  5195	252 255 -6.776263599999999e-21
  5770	287 284  8.1315163e-20
  5879	284 287  8.1315163e-20
  6112	303 300 -2.7105054e-20
  6221	300 303 -2.7105054e-20
  6454	319 316 -2.0328791e-20
  6563	316 319 -2.0328791e-20
  6796	335 332 -2.0328791e-20
  6905	332 335 -2.0328791e-20
  7138	351 348 -1.3552527e-20
  7247	348 351 -1.3552527e-20
  8164	399 396  1.3552527e-20
  8273	396 399  1.3552527e-20
    72	31 12 -9.486769e-22
   288	32 27  1.2705494e-23
   306	31 28  8.4703295e-21
   396	12 31 -9.486769e-22
   409	28 31  8.4703295e-21
   444	27 32  1.2705494e-23
   640	47 44  2.5410988e-21
   749	44 47  2.5410988e-21
   982	63 60  3.2187252e-20
  1091	60 63  3.2187252e-20
  1324	79 76  9.6561756e-20
  1433	76 79  9.6561756e-20
  3376	175 172  6.776263599999999e-21
  3485	172 175  6.776263599999999e-21
  4744	239 236  6.7762636e-20
  4853	236 239  6.7762636e-20
  5086	255 252 -6.776263599999999e-21
  5195	252 255 -6.776263599999999e-21
  5770	287 284  8.1315163e-20
  5879	284 287  8.1315163e-20
  6112	303 300 -2.7105054e-20
  6221	300 303 -2.7105054e-20
  6454	319 316 -2.0328791e-20
  6563	316 319 -2.0328791e-20
  6796	335 332 -2.0328791e-20
  6905	332 335 -2.0328791e-20
  7138	351 348 -1.3552527e-20
  7247	348 351 -1.3552527e-20
  8164	399 396  1.3552527e-20
  8273	396 399  1.3552527e-20
